spot	(0) Capillary endothelium	(1) Ventricular cardiomyocytes	(10) Endothelium/ pericytes/ adventia	(12) Cardiomyocytes	(14) Cells related to cardiac neural crest	(2) Fribroblast-like (AV mesenchyme related)	(3) Subepicardial cells	(4) Fribroblast-like (coronary & mediastinal vasculature related)	(5) Smooth muscle cells/ fibroblast-like	(7) Artrial cardiomyocytes	(8) Fibroblast-like (outflow tract & valve related)	(9) Epicardial cells
5675_3180	0	0	0	0	0	0	0	0	0	1	0	0
5675_5300	0	0	0	0	0	0	0	0	0	2	0	0
5675_5724	3	0	3	2	0	0	0	0	0	16	1	0
5675_6148	2	0	1	1	0	0	0	0	0	7	1	0
5675_6572	4	0	0	0	0	0	0	0	0	17	1	0
5675_6996	0	0	3	1	0	0	0	0	0	13	3	0
5675_7420	0	0	3	0	0	0	0	0	0	15	0	0
5675_7844	0	0	1	0	0	1	0	0	0	16	1	0
5675_8268	0	0	6	0	0	0	0	0	0	11	0	0
5675_8692	0	1	0	3	0	1	0	0	0	2	0	0
5675_9116	1	0	3	11	0	6	0	0	0	3	1	0
5675_9540	5	0	0	3	0	10	0	0	1	0	3	0
5675_9964	1	0	0	0	0	7	1	0	0	0	10	0
5675_10388	2	0	1	3	0	5	0	0	0	0	3	0
5675_10812	2	3	0	8	0	2	0	1	0	0	0	0
5675_11236	2	0	1	4	0	1	0	0	0	0	1	0
5675_11660	9	0	3	3	0	0	0	0	0	0	1	0
5675_12084	4	3	2	6	0	1	0	0	0	0	3	1
5675_12508	1	1	1	13	1	0	0	1	0	1	1	1
5675_12932	0	1	0	13	0	0	0	0	0	2	0	0
5675_13356	2	3	0	12	0	0	0	0	0	2	1	0
5675_13780	1	1	1	8	0	0	0	0	0	0	1	0
5675_14204	2	5	2	7	0	0	0	0	0	2	1	0
5675_14628	1	6	3	5	0	0	0	0	0	2	0	0
5675_15052	0	2	2	0	0	0	0	1	0	1	0	0
5675_15476	1	8	0	6	0	0	0	1	0	1	3	0
5675_15900	0	0	1	1	0	0	0	0	0	1	2	0
6129_636	1	0	1	0	0	0	0	0	0	2	1	0
6129_1060	0	0	0	0	0	1	1	0	0	15	0	1
6129_1484	1	0	0	0	0	0	1	0	0	18	0	6
6129_1908	0	0	1	0	0	1	1	0	0	18	1	0
6129_2332	2	0	1	0	0	0	0	0	0	14	0	0
6129_2756	0	0	1	4	0	0	0	0	0	24	0	0
6129_3180	0	0	0	0	0	0	0	0	0	1	0	0
6129_5300	0	0	1	0	0	0	0	0	0	3	0	0
6129_5724	3	0	0	0	0	0	0	0	0	23	0	0
6129_6148	0	0	0	1	0	0	0	0	0	15	0	0
6129_6572	1	0	0	0	0	0	0	0	0	19	0	0
6129_6996	0	0	2	1	0	0	0	1	0	12	2	0
6129_7420	2	0	1	0	0	0	0	1	0	15	1	0
6129_7844	0	0	1	0	0	1	0	0	0	11	1	0
6129_8268	0	0	2	1	0	0	0	0	0	16	0	0
6129_8692	0	0	5	0	1	2	0	0	0	0	1	0
6129_9116	1	0	0	0	0	12	0	0	0	0	4	0
6129_9540	1	0	0	0	0	19	0	2	0	0	3	0
6129_9964	0	0	0	0	0	5	0	1	0	0	0	0
6129_10388	1	2	1	8	0	3	1	2	0	0	5	0
6129_10812	2	1	6	10	0	0	0	1	0	1	0	0
6129_11236	1	4	1	6	0	0	0	1	0	0	3	1
6129_11660	1	4	1	3	0	0	0	0	0	0	1	0
6129_12084	0	2	1	5	0	0	0	0	0	1	0	0
6129_12508	1	1	2	14	0	1	0	0	0	1	2	0
6129_12932	1	12	1	6	0	0	0	0	0	0	1	0
6129_13356	1	2	1	13	0	0	0	0	0	3	1	0
6129_13780	1	3	3	7	0	0	0	0	0	2	0	0
6129_14204	1	4	3	11	0	0	0	0	0	3	1	0
6129_14628	0	4	4	12	0	0	0	0	0	2	2	0
6129_15052	0	6	0	4	0	0	0	1	0	2	2	0
6129_15476	0	5	2	13	0	0	0	0	0	3	1	0
6129_15900	0	1	0	0	0	0	0	0	0	1	1	0
6583_1060	0	0	0	0	0	1	0	0	0	1	0	2
6583_1484	0	0	0	0	0	0	0	0	0	24	0	2
6583_1908	0	0	0	0	0	1	0	0	1	18	0	0
6583_2332	0	0	0	0	0	3	0	1	0	14	0	0
6583_2756	0	0	0	1	0	2	0	3	0	18	2	0
6583_3180	0	0	2	0	0	0	0	0	0	12	0	0
6583_5300	1	0	0	0	0	0	0	0	0	22	0	0
6583_5724	6	0	1	2	0	0	0	0	0	19	0	0
6583_6148	0	0	2	0	0	0	0	0	0	17	0	0
6583_6572	1	0	0	0	0	0	0	0	0	14	0	0
6583_6996	0	0	3	0	0	1	0	1	0	20	0	0
6583_7420	2	0	2	0	0	1	0	0	0	15	2	0
6583_7844	0	0	2	0	0	2	0	0	0	15	0	0
6583_8268	0	0	2	2	0	0	0	0	0	12	1	0
6583_8692	0	0	1	0	0	1	0	0	0	0	0	0
6583_9116	2	0	0	1	0	9	0	2	0	0	2	0
6583_9540	1	0	2	4	0	7	0	0	0	0	7	0
6583_9964	0	0	0	0	0	1	0	0	0	0	2	0
6583_10388	1	7	1	11	0	2	0	2	0	1	1	0
6583_10812	0	3	1	8	0	0	0	1	0	1	3	1
6583_11236	0	6	2	6	0	2	0	0	0	2	2	0
6583_11660	0	1	0	7	0	2	0	0	0	0	1	0
6583_12084	1	1	3	12	0	0	0	0	0	3	1	0
6583_12508	0	7	2	17	0	0	0	0	0	2	0	0
6583_12932	0	6	0	9	0	0	0	1	0	5	1	0
6583_13356	0	3	1	12	0	0	0	0	0	4	1	0
6583_13780	1	4	2	15	0	0	0	0	0	1	0	0
6583_14204	1	8	0	8	0	0	0	0	0	1	1	0
6583_14628	0	13	1	5	0	0	0	1	0	2	0	0
6583_15052	0	6	1	10	0	0	0	2	0	0	2	0
6583_15476	2	3	1	8	0	0	0	0	0	2	2	0
6583_15900	0	0	2	0	0	0	1	0	0	0	0	1
7037_1060	0	0	0	0	2	1	2	1	2	1	0	7
7037_1484	0	0	1	0	0	0	0	0	0	29	0	0
7037_1908	1	0	0	1	1	0	0	0	0	26	0	0
7037_2332	0	0	0	0	0	0	0	0	0	33	0	0
7037_2756	0	0	0	4	0	0	0	0	0	31	0	0
7037_3180	0	0	2	2	0	0	0	0	0	17	0	0
7037_3604	0	0	0	0	0	0	0	0	0	1	0	0
7037_4876	1	0	0	1	0	0	0	0	0	12	0	0
7037_5300	8	0	0	0	0	0	0	0	0	4	0	0
7037_5724	5	0	3	0	0	0	0	0	0	8	0	0
7037_6148	1	0	1	0	0	0	0	0	0	19	0	0
7037_6572	0	0	1	0	0	0	0	0	0	16	1	0
7037_6996	0	0	0	0	0	0	0	0	0	16	2	0
7037_7420	0	0	0	1	0	0	0	0	0	18	0	0
7037_7844	0	0	0	0	0	1	0	0	0	10	1	0
7037_8268	0	0	4	2	0	0	0	0	0	10	0	0
7037_9116	0	0	3	1	0	3	0	0	0	0	1	0
7037_9540	2	0	1	9	0	4	0	1	0	1	2	0
7037_9964	1	0	0	4	0	2	0	3	0	2	1	0
7037_10388	0	3	1	7	0	5	1	0	0	2	3	0
7037_10812	0	3	1	9	0	0	0	0	0	2	7	0
7037_11236	0	2	1	13	0	0	0	0	0	4	1	0
7037_11660	0	1	0	12	0	0	0	0	0	3	0	0
7037_12084	1	2	0	13	0	0	0	0	0	2	2	0
7037_12508	1	4	2	9	1	0	0	0	0	3	3	1
7037_12932	1	1	2	7	0	1	0	0	0	1	4	0
7037_13356	0	0	8	11	0	0	0	0	0	0	1	1
7037_13780	0	5	3	10	0	0	0	0	0	8	4	0
7037_14204	1	3	1	9	0	0	0	2	0	0	4	0
7037_14628	0	10	1	12	0	1	0	0	0	2	4	0
7037_15052	0	7	1	8	0	1	0	0	0	2	2	0
7037_15476	0	4	0	5	0	1	0	0	0	2	1	0
7037_15900	2	0	0	0	0	4	1	0	0	0	3	0
7491_1060	1	0	0	0	1	2	5	0	4	5	0	4
7491_1484	1	0	0	0	1	1	0	0	1	21	2	0
7491_1908	0	0	2	0	0	0	1	0	0	26	0	0
7491_2332	0	0	1	1	0	0	0	0	0	26	2	0
7491_2756	0	0	0	1	0	0	0	0	0	36	0	0
7491_3180	0	0	1	1	0	0	0	0	0	10	0	0
7491_4876	0	0	1	0	0	0	0	0	1	13	0	0
7491_5300	7	0	0	0	0	0	0	0	0	9	1	0
7491_5724	1	0	0	0	0	0	0	0	0	19	0	0
7491_6148	0	0	0	1	1	0	0	0	0	16	1	0
7491_6572	1	0	4	1	0	0	0	0	0	13	1	0
7491_6996	0	0	1	0	0	0	1	0	1	17	1	0
7491_7420	1	0	0	2	0	7	1	3	2	6	3	0
7491_7844	1	0	0	1	0	1	0	0	0	9	1	0
7491_8268	0	0	3	1	0	0	0	0	0	17	0	0
7491_8692	0	0	1	1	0	2	0	0	0	1	0	0
7491_9116	0	0	0	3	0	0	0	0	0	0	2	0
7491_9540	0	2	0	6	0	4	0	1	0	0	1	0
7491_9964	0	2	6	6	0	1	0	1	0	2	1	0
