cell	bio_celltype
cell1235	Neuroblast
cell1236	Interneuron
cell1237	Interneuron
cell1238	Neuroblast
cell1239	Interneuron
cell1240	Interneuron
cell1241	Interneuron
cell1242	Interneuron
cell1243	Neuroblast
cell1244	Interneuron
cell1245	Interneuron
cell1246	Interneuron
cell1247	Interneuron
cell1248	Interneuron
cell1249	Microglia
cell1250	Neuroblast
cell1251	Interneuron
cell1252	Neuroblast
cell1253	Interneuron
cell1254	Interneuron
cell1255	Interneuron
cell1256	Interneuron
cell1257	Interneuron
cell1258	Interneuron
cell1259	Interneuron
cell1260	Neuroblast
cell1261	Neuroblast
cell1262	Interneuron
cell1263	Interneuron
cell1264	Interneuron
cell1265	Oligodendrocytes
cell1266	Interneuron
cell1267	Neuroblast
cell1268	Neuroblast
cell1269	Endothelial cells
cell1270	Interneuron
cell1271	Interneuron
cell1272	Interneuron
cell1273	Interneuron
cell1275	Interneuron
cell1276	Interneuron
cell1277	Interneuron
cell1278	Interneuron
cell1279	Interneuron
cell1280	Interneuron
cell1281	Interneuron
cell1282	Interneuron
cell1283	Astrocytes
cell1284	Interneuron
cell1285	Interneuron
cell1286	Interneuron
cell1287	Interneuron
cell1288	Interneuron
cell1289	Interneuron
cell1290	Endothelial cells
cell1291	Neuroblast
cell1292	Interneuron
cell1293	Interneuron
cell1294	Astrocytes
cell1295	Interneuron
cell1296	Interneuron
cell1297	Interneuron
cell1298	Interneuron
cell1300	Interneuron
cell1301	Interneuron
cell1302	Astrocytes
cell1303	Astrocytes
cell1304	Interneuron
cell1305	Interneuron
cell1306	Interneuron
cell1307	Interneuron
cell1308	Interneuron
cell1309	Neuroblast
cell1310	Interneuron
cell1311	Interneuron
cell1312	Interneuron
cell1313	Astrocytes
cell1314	Neuroblast
cell1315	Interneuron
cell1316	Interneuron
cell1317	Neuroblast
cell1318	Interneuron
cell1319	Interneuron
cell1320	Interneuron
cell1321	Neuroblast
cell1322	Interneuron
cell1323	Microglia
cell1324	Interneuron
cell1325	Interneuron
cell1326	Interneuron
cell1327	Interneuron
cell1328	Interneuron
cell1329	Astrocytes
cell1330	Interneuron
cell1331	Interneuron
