spot	x	y	layer_new
15209_1060	15209	1060	2
15209_1484	15209	1484	2
15209_1908	15209	1908	2
15209_2332	15209	2332	2
15209_2756	15209	2756	2
15209_3180	15209	3180	2
15209_3604	15209	3604	2
15209_4876	15209	4876	1
15209_5300	15209	5300	1
15209_5724	15209	5724	1
15209_6148	15209	6148	1
15209_6572	15209	6572	1
15209_6996	15209	6996	1
15209_7420	15209	7420	1
15209_7844	15209	7844	1
15209_8268	15209	8268	1
15209_8692	15209	8692	1
15209_9116	15209	9116	1
15209_9540	15209	9540	1
15209_10388	15209	10388	1
15209_10812	15209	10812	1
15209_11236	15209	11236	1
15209_11660	15209	11660	1
15663_212	15663	212	2
15663_636	15663	636	2
15663_1060	15663	1060	2
15663_1484	15663	1484	2
15663_1908	15663	1908	2
15663_2332	15663	2332	2
15663_2756	15663	2756	2
15663_3180	15663	3180	2
15663_6148	15663	6148	1
15663_6572	15663	6572	1
15663_6996	15663	6996	1
15663_7420	15663	7420	1
15663_7844	15663	7844	1
15663_8268	15663	8268	1
15663_8692	15663	8692	1
15663_11660	15663	11660	1
15663_12084	15663	12084	1
15663_12508	15663	12508	1
16117_636	16117	636	2
16117_1060	16117	1060	2
16117_1484	16117	1484	2
16117_1908	16117	1908	2
16117_2332	16117	2332	2
16117_2756	16117	2756	2
16117_6996	16117	6996	1
16117_7420	16117	7420	1
16117_7844	16117	7844	1
16117_8268	16117	8268	1
16117_8692	16117	8692	1
16117_9116	16117	9116	1
16117_10812	16117	10812	1
16117_11660	16117	11660	1
16117_12084	16117	12084	1
16571_636	16571	636	2
16571_1060	16571	1060	2
16571_1484	16571	1484	2
